= Logs of language model for Lithuanian (lt) =

- Generated by BuildLangModel.py
- Started: 2023-07-08 17:16:01.900858
- Maximum depth: 4
- Max number of characters: 4000000

== Parsed pages ==

Dacijonai (revision 6709137; CACHED)
Podbagnai (revision 6777081; CACHED)
Dodge (revision 4743939; CACHED)
Ainų kalba (revision 6790349; CACHED)
Vilius Armalas (revision 6991569; CACHED)
Mikael Ericsson (revision 4701886; CACHED)
Nacionalinis pagrindinis Šv. Morkaus universitetas (revision 4996253; CACHED)
Satire (revision 4555008; CACHED)
Panama (revision 6726306; CACHED)
Popiežius Kononas (revision 6480916; CACHED)
Tenakuru (revision 6667345; CACHED)
Stirbaičiai (Žygaičiai) (revision 6894091; CACHED)
2022 m. Europos čempionatai (revision 6898876; CACHED)
Rahačovo apskrityje (revision 6948161; CACHED)
Ištikimybė (filmas) (revision 5805842; CACHED)
Aloyzas Domeika (revision 6930785; CACHED)
Young Thug (revision 6992226; CACHED)
Petras Vileišis (revision 6939959; CACHED)
Šiaudžių apylinkė (revision 6642363; CACHED)
Grabarka (Liublino vaivadija) (revision 6760975; CACHED)
Pančen Lama (revision 6495386; CACHED)
Vikonda (revision 6835813; CACHED)
Salės futbolas (revision 6884820; CACHED)
Korentosas (revision 6767246; CACHED)
Gruobinios apskritis (revision 6890939; CACHED)
Mis Pasaulis 1959 (revision 5452415; CACHED)
Romelu Lukaku (revision 6802219; CACHED)
Alkai (Plungė) (revision 6812379; CACHED)
Gudžiūnai (kaimas) (revision 6799742; CACHED)
Australidai (revision 6980389; CACHED)
Aukštutinė Uelė (revision 6865941; CACHED)
1675 m. (revision 5301879; CACHED)
Finansų analitikas (revision 4770669; CACHED)
Drąsučiai (revision 6708979; CACHED)
Serkai (revision 6921758; CACHED)
Antanas Poška (revision 6945484; CACHED)
Markas Polas (revision 6942487; CACHED)
Serbijos vėliava (revision 6225334; CACHED)
Valstybės kontrolė (revision 6994888; CACHED)
Karupanas (revision 4985259; CACHED)
Dėmesys (filmas) (revision 5805735; CACHED)
Komunistų partijos manifestas (revision 5807668; CACHED)
Oginskiai (revision 6774304; CACHED)
Minsko gubernija (revision 6982103; CACHED)
Kelmės rajono savivaldybė (revision 6950594; CACHED)
Ian Walker (revision 6961545; CACHED)
Vakarų Kalimantanas (revision 6833596; CACHED)
Duplikarijus (revision 6173762; CACHED)
Lietuvos futbolo varžybos 1985 m. (revision 6534822; CACHED)
Romualdas Ignas Bloškys (revision 6884625; CACHED)
Girkalnis (kaimas) (revision 6819605; CACHED)
MySpace (revision 6967144; CACHED)
Donatas Montvydas (revision 6960982; CACHED)
Palestinos vėliava (revision 6860088; CACHED)
Kakava (revision 6747959; CACHED)
Šveicarijos futbolo varžybos 2009–2010 m. (revision 6736232; CACHED)
Tadeušas Giedraitis (revision 6676671; CACHED)
Violeta Ražinskaitė (revision 6203712; CACHED)
Liverpulio Džono Lenono oro uostas (revision 4377335; CACHED)
Muskogų kalbos (revision 5009619; CACHED)
Austrijos futbolo varžybos 1980–1981 m. (revision 6734053; CACHED)
Kamardės dvaras (revision 6698601; CACHED)
FC Garedži (revision 6876069; CACHED)
SV Austria Salzburg (revision 6966537; CACHED)
Škotijos futbolo varžybos 1994–1995 m. (revision 6442562; CACHED)
Rosas (šiaurės Velsas) (revision 6904228; CACHED)
Azerbaidžanas (revision 6957977; CACHED)
Jerzy Lalewicz (revision 5807246; CACHED)
Parko tiltas (revision 6578651; CACHED)
Einius Petkus (revision 6412275; CACHED)
Avėdra (revision 6210215; CACHED)
FC Dinamo Minsk (revision 6879909; CACHED)
Laurynas Bratkauskas (revision 6952987; CACHED)
Reistrai (Laukuva) (revision 6833248; CACHED)
Korporacinė diplomatija (revision 6767316; CACHED)
Rževas (revision 6303529; CACHED)
Dviskaita (revision 6605209; CACHED)
Anglijos futbolo varžybos 1965–1966 m. (revision 6747693; CACHED)
Men in Black 3 (revision 6470858; CACHED)
Chomontovcė (revision 6794400; CACHED)
Spelling (revision 5798462; CACHED)
Gelgaudiškio karilionas (revision 6966778; CACHED)
FK Aktôbe (revision 6928617; CACHED)
Barysai (revision 6888895; CACHED)
Mečys Laurinkus (revision 6184579; CACHED)
Tvirtinamasis įrašas (revision 4980027; CACHED)
Leliūnai (revision 6857807; CACHED)
Suvalkija (revision 6708382; CACHED)
Sen Martenas (revision 6592987; CACHED)
Tamošiūnai (Anykščiai) (revision 6732650; CACHED)
481 m. pr. m. e. (revision 5303384; CACHED)
Teo Teocoli (revision 6574093; CACHED)
Pelėdiniai paukščiai (revision 6903289; CACHED)
Janina Dirbanauskienė (revision 3212551; CACHED)
Vakarų Krantas (revision 6820109; CACHED)
Bird (revision 6109203; CACHED)
Gurbai (Ignalina) (revision 6753580; CACHED)
Tadlo–Azilalio regionas (revision 4529479; CACHED)
Juodkalnijos moterų futbolo rinktinė (revision 6933611; CACHED)
Žvirgždaičių pagrindinė mokykla (revision 6564581; CACHED)
Mis Pasaulis 2012 (revision 6487118; CACHED)
Krukas (Liublino vaivadija) (revision 6767834; CACHED)
Dundagos savivaldybė (revision 6285910; CACHED)
Argentinos ryšiai (revision 6439390; CACHED)
Colin Kazim-Richards (revision 6870544; CACHED)
Aleksandras Solženicynas (revision 6933129; CACHED)
Party (albumas) (revision 4727147; CACHED)
Jungtinė Karalystė 1984 m. žiemos olimpinėse žaidynėse (revision 6421580; CACHED)
Skaistgiriai (Kėdainiai) (revision 6699972; CACHED)
TyTy Washington Jr. (revision 6992887; CACHED)
Charlotte Fry (revision 6349830; CACHED)
Livoninė našlaitė (revision 6260517; CACHED)
Linguistics (revision 5206084; CACHED)
Šoldeneščio rajonas (revision 4563222; CACHED)
Danielius Eidukas (revision 4942542; CACHED)
Deborah Cali (revision 6688722; CACHED)
Laukagalis (Pakruojis) (revision 6890578; CACHED)
Kipro futbolo varžybos 1992–1993 m. (revision 6740791; CACHED)
Europa Europa (revision 6406626; CACHED)
Žvirgždaičių seniūnija (revision 6960384; CACHED)
Žvirgždžiai (Raseiniai) (revision 6708735; CACHED)
V.League 1 (revision 6928648; CACHED)
Bžozuvka Korona (revision 6918970; CACHED)
KK Kretinga (revision 6908170; CACHED)
Anglijos futbolo varžybos 1971–1972 m. (revision 6747707; CACHED)
Moldavija olimpinėse žaidynėse (revision 6494862; CACHED)
Petropavlas (revision 6776240; CACHED)
M. Stanley Whittingham (revision 6490501; CACHED)
Armališkės (Kaunas) (revision 6699902; CACHED)
1 euro moneta (revision 6877649; CACHED)
Eugenijus Gaižauskas (revision 6881325; CACHED)
World of Warcraft: Cataclysm (revision 5729147; CACHED)
Bankininkystė Šveicarijoje (revision 6878834; CACHED)
Lietuvos sporto federacijų sąjunga (revision 6531774; CACHED)
Julia Taubitz (revision 6989198; CACHED)
2011 m. Pasaulio lengvosios atletikos čempionatas (revision 6487103; CACHED)
Šviesos diodas (revision 6476146; CACHED)
Mis Pasaulis 1969 (revision 6216079; CACHED)
Hoganas (revision 5904532; CACHED)
Gediminas Juzeliūnas (revision 4954201; CACHED)
Juozas Laucius (revision 6798729; CACHED)
Telšių miškų urėdija (revision 6348716; CACHED)
Paupinė (revision 6873657; CACHED)
1972 m. vasaros olimpinių žaidynių medalių lentelė (revision 6850933; CACHED)
Metabolizmas (revision 6465745; CACHED)
Dafnė (revision 6794733; CACHED)
Valferdanžas (revision 6984622; CACHED)
Valsčius (Estija) (revision 6988900; CACHED)
Trumas (revision 6933462; CACHED)
